hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
Bhukkad Biryani,2.4 ,28,Biryani,Malad Kan East,120,60
Annapurna Theplahouse & Dry Snacks,27 mins,,Snacks,Malad Kan East,75,30
Parathe Wali Gulli,29 mins,,"North Indian, Beverages",Malad Kan East,not_available,not_available
Eggless Cakes,49 mins,,Bakery,Dahisar,not_available,not_available
Cake Star,4.4 ,46,"Desserts, Bakery",Borivali West,not_available,not_available
Fast Food Adda,4.2 ,51,"Snacks, Fast Food",Borivali,not_available,not_available
Waffles By Di Bella,4.7 ,57,"Desserts, Waffle, Ice Cream, Bakery, Snacks",Malad West,600,10
Indie Feast By Purple Foods,3.4 ,46,"Indian, Tandoor, Kebabs, Biryani, Beverages, Desserts",A K Vaidya Marg,599,not_available
Cake Story,42 mins,,Bakery,Borivali,not_available,not_available
Swa Varhadi Misal,4.2 ,48,"Street Food, Beverages",Jog Gor West,not_available,not_available
Pav Bhaji Company,2.5 ,41,"Street Food, North Indian, Juices",Rawal Pada,not_available,not_available
Soroush Biriyani,2.8 ,49,"Biryani, Mughlai",Goregaon,120,25
Diamond Restaurant,4.2 ,55,"Chinese, Indian, Snacks",Jog Gor East,100,10
Bowl Up!,2.6 ,41,"North Indian, Sweets",Dahisar East,not_available,not_available
The Hot Chinese,3.1 ,46,"Chinese, Thai",Malad East,200,40
Maratha Darbar,4.1 ,44,"North Indian, Chinese, Biryani, Indian, Tandoor, Mughlai, Thai, Continental",Malad East,200,40
Foodie Panda,46 mins,,"Chinese, Burgers, Fast Food, Snacks, Beverages",Dahisar,not_available,not_available
Hot and spicy,4.2 ,42,"Chinese, Indian",Dahisar East,not_available,not_available
